No         Date/Time            Browser            Access Path
---------  -------------------  -----------------  ---------------------------------------------------------------------------------------
000000001  2024-12-01 03:13:51  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000002  2024-12-01 03:15:21  Google Chrome      C:\xampp\htdocs\aska\application\controllers\SignIn\index 
000000003  2024-12-01 03:15:21  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Home\index 
000000004  2024-12-01 03:15:29  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000005  2024-12-01 03:16:32  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\models\Dashboard\Setting\UserModel\saveDataUser save data user
000000006  2024-12-01 03:17:06  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Pegawai\InputData\index 
000000007  2024-12-01 03:17:13  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000008  2024-12-01 03:17:40  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\models\Dashboard\Setting\UserModel\deleteDataUser delete data user
000000009  2024-12-01 03:23:21  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000010  2024-12-01 03:23:52  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000011  2024-12-01 03:24:13  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000012  2024-12-01 03:24:36  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000013  2024-12-01 03:24:57  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000014  2024-12-01 03:25:17  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000015  2024-12-01 03:25:28  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000016  2024-12-01 03:30:23  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000017  2024-12-01 03:33:13  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000018  2024-12-01 03:37:05  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000019  2024-12-01 03:40:12  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000020  2024-12-01 03:43:39  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000021  2024-12-01 03:49:17  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000022  2024-12-01 03:49:43  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
000000023  2024-12-01 03:52:33  Google Chrome      hari01 : C:\xampp\htdocs\aska\application\controllers\Dashboard\Setting\User\index 
